iter	Passed	Remaining
572	2872	2140
573	2877	2135
574	2882	2130
575	2888	2125
576	2892	2120
577	2899	2117
578	2904	2112
579	2908	2106
580	2913	2101
581	2918	2096
582	2922	2090
583	2927	2085
584	2934	2081
585	2938	2075
586	2943	2070
587	2949	2066
588	2953	2061
589	2959	2056
590	2965	2052
591	2969	2046
592	2975	2042
593	2981	2038
594	2986	2032
595	2992	2028
596	2999	2024
597	3005	2020
598	3010	2015
599	3016	2011
600	3022	2006
601	3029	2003
602	3038	2000
603	3043	1995
604	3048	1990
605	3054	1985
606	3060	1981
607	3064	1975
608	3068	1970
609	3073	1964
610	3079	1960
611	3083	1954
612	3088	1949
613	3093	1944
614	3098	1939
615	3102	1934
616	3107	1928
617	3111	1923
618	3116	1918
619	3120	1912
620	3126	1907
621	3130	1902
622	3135	1897
623	3141	1893
624	3146	1887
625	3150	1882
626	3155	1876
627	3159	1871
628	3164	1866
629	3168	1860
630	3173	1855
631	3178	1850
632	3183	1845
633	3187	1840
634	3192	1835
635	3197	1830
636	3202	1824
637	3207	1819
638	3212	1814
639	3216	1809
640	3220	1803
641	3224	1798
642	3228	1792
643	3233	1787
644	3238	1782
645	3243	1777
646	3247	1771
647	3251	1766
648	3258	1762
649	3263	1757
650	3268	1752
651	3272	1746
652	3277	1741
653	3281	1736
654	3287	1731
655	3294	1727
656	3299	1722
657	3305	1718
658	3314	1715
659	3320	1710
660	3326	1705
661	3331	1700
662	3336	1696
663	3341	1691
664	3346	1686
665	3352	1681
666	3358	1676
667	3364	1671
668	3370	1667
669	3376	1662
670	3382	1658
671	3389	1654
672	3397	1650
673	3404	1646
674	3411	1642
675	3416	1637
676	3423	1633
677	3428	1628
678	3433	1623
679	3441	1619
680	3445	1613
681	3451	1609
682	3458	1605
683	3466	1601
684	3476	1598
685	3498	1601
686	3520	1603
687	3525	1598
688	3532	1594
689	3542	1591
690	3550	1587
691	3555	1582
692	3561	1577
693	3569	1573
694	3575	1568
695	3581	1564
696	3592	1561
697	3601	1558
698	3607	1553
699	3615	1549
700	3629	1547
701	3639	1544
702	3648	1541
703	3659	1538
704	3669	1535
705	3676	1531
706	3687	1528
707	3695	1524
708	3702	1519
709	3708	1514
710	3719	1511
711	3727	1507
712	3735	1503
713	3742	1499
714	3750	1494
715	3756	1490
716	3764	1485
717	3771	1481
718	3778	1476
719	3785	1472
720	3791	1467
721	3798	1462
722	3804	1457
723	3812	1453
724	3818	1448
725	3824	1443
726	3831	1438
727	3837	1433
728	3844	1429
729	3849	1423
730	3855	1418
731	3862	1414
732	3867	1408
733	3871	1403
734	3877	1398
735	3882	1392
736	3887	1387
